TimeStamp,Sunspots
1.296000e+06,149.5
3.801600e+06,150.1
6.393600e+06,150.3
8.985600e+06,150.3
1.166400e+07,149.8
1.425600e+07,149.1
1.693440e+07,147
1.961280e+07,143
2.220480e+07,137.6
2.488320e+07,132.9
2.747520e+07,126.5
3.015360e+07,119
3.283200e+07,113.8
3.533760e+07,110.1
3.792960e+07,105.3
4.052160e+07,100.4
4.320000e+07,96.5
4.579200e+07,94.5
4.847040e+07,92.7
5.114880e+07,91.5
5.374080e+07,93.2
5.641920e+07,93.8
5.901120e+07,94.7
6.168960e+07,98.3
6.436800e+07,100.3
6.696000e+07,100.9
6.955200e+07,102.6
7.214400e+07,104
7.482240e+07,103.3
7.741440e+07,99.9
8.009280e+07,96.6
8.277120e+07,92.9
8.536320e+07,88.2
8.804160e+07,85.9
9.063360e+07,83.3
9.331200e+07,78.2
9.599040e+07,72.3
9.849600e+07,66.1
1.010880e+08,62.8
1.036800e+08,60.8
1.063584e+08,57.9
1.089504e+08,55.6
1.116288e+08,53.4
1.143072e+08,51.4
1.168992e+08,49
1.195776e+08,46.6
1.221696e+08,45.4
1.248480e+08,45
1.275264e+08,46.8
1.300320e+08,49.1
1.326240e+08,48.5
1.352160e+08,48.3
1.378944e+08,49.4
1.404864e+08,49.3
1.431648e+08,48.6
1.458432e+08,47.3
1.484352e+08,45.8
1.511136e+08,43.2
1.537056e+08,39.3
1.563840e+08,36.1
1.590624e+08,33
1.615680e+08,31.8
1.641600e+08,30.6
1.667520e+08,26.8
1.694304e+08,24.2
1.720224e+08,23.2
1.747008e+08,21.8
1.773792e+08,20.7
1.799712e+08,20.9
1.826496e+08,22.3
1.852416e+08,23.3
1.879200e+08,23.6
1.905984e+08,22.1
1.931904e+08,19.2
1.957824e+08,17.8
1.983744e+08,18.4
2.010528e+08,18.3
2.036448e+08,17.9
2.063232e+08,18.8
2.090016e+08,20.5
2.115936e+08,20.8
2.142720e+08,19.7
2.168640e+08,19.7
2.195424e+08,21.6
2.222208e+08,24.3
2.247264e+08,26.3
2.273184e+08,28.8
2.299104e+08,31.9
2.325888e+08,34.7
2.351808e+08,37.7
2.378592e+08,41.4
2.405376e+08,47.6
2.431296e+08,55.8
2.458080e+08,64.8
2.484000e+08,73.7
2.510784e+08,80.7
2.537568e+08,86.9
2.562624e+08,91.5
2.588544e+08,98.7
2.614464e+08,109
2.641248e+08,117.8
2.667168e+08,126.6
2.693952e+08,138
2.720736e+08,147.3
2.746656e+08,153.6
2.773440e+08,157.3
2.799360e+08,160.4
2.826144e+08,166.7
2.852928e+08,175.2
2.877984e+08,185.4
2.903904e+08,193.3
2.929824e+08,199.9
2.956608e+08,208.5
2.982528e+08,216.7
3.009312e+08,219.5
3.036096e+08,220.1
3.062016e+08,220.4
3.088800e+08,223.4
3.114720e+08,229.8
3.141504e+08,232.9
3.168288e+08,232
3.194208e+08,230.2
3.220128e+08,227.9
3.246048e+08,224.6
3.272832e+08,221.3
3.298752e+08,219.1
3.325536e+08,216.1
3.352320e+08,212
3.378240e+08,211.5
3.405024e+08,211.9
3.430944e+08,209.1
3.457728e+08,202.8
3.484512e+08,199.6
3.509568e+08,202.2
3.535488e+08,205.4
3.561408e+08,205.7
3.588192e+08,204.1
3.614112e+08,200.9
3.640896e+08,198.5
3.667680e+08,199.9
3.693600e+08,202.7
3.720384e+08,201.4
3.746304e+08,196
3.773088e+08,194.1
3.799872e+08,192.7
3.824928e+08,186.6
3.850848e+08,180
3.876768e+08,173.4
3.903552e+08,167.5
3.929472e+08,164
3.956256e+08,161.5
3.983040e+08,153.5
4.008960e+08,141.4
4.035744e+08,133.3
4.061664e+08,131.3
4.088448e+08,130.5
4.115232e+08,127.9
4.140288e+08,123.9
4.166208e+08,117.1
4.192128e+08,110.5
4.218912e+08,104.5
4.244832e+08,95.9
4.271616e+08,89.1
4.298400e+08,88.9
4.324320e+08,91.7
4.351104e+08,92
4.377024e+08,89.7
4.403808e+08,85.5
4.430592e+08,80.5
4.456512e+08,75.8
4.482432e+08,71.2
4.508352e+08,66.8
4.535136e+08,63.5
4.561056e+08,61.7
4.587840e+08,58.3
4.614624e+08,52.2
4.640544e+08,44.3
4.667328e+08,37.2
4.693248e+08,31.6
4.720032e+08,27.4
4.746816e+08,25.2
4.771872e+08,23.5
4.797792e+08,21.7
4.823712e+08,21.3
4.850496e+08,21.4
4.876416e+08,20.8
4.903200e+08,19.9
4.929984e+08,19.6
4.955904e+08,19.8
4.982688e+08,19.7
5.008608e+08,19.1
5.035392e+08,17.3
5.062176e+08,15.2
5.087232e+08,14.3
5.113152e+08,14.3
5.139072e+08,15.1
5.165856e+08,15.8
5.191776e+08,15.2
5.218560e+08,15.1
5.245344e+08,14.4
5.271264e+08,13.5
5.298048e+08,14.7
5.323968e+08,16.6
5.350752e+08,18.3
5.377536e+08,19.9
5.402592e+08,22.3
5.428512e+08,25.5
5.454432e+08,28
5.481216e+08,30.3
5.507136e+08,32.7
5.533920e+08,36.2
5.560704e+08,40.5
5.586624e+08,45.3
5.613408e+08,51
5.639328e+08,55.1
5.666112e+08,60.9
5.692896e+08,69.2
5.718816e+08,76.9
5.744736e+08,84.9
5.770656e+08,93
5.797440e+08,101.4
5.823360e+08,114.3
5.850144e+08,128.5
5.876928e+08,141.1
5.902848e+08,151.2
5.929632e+08,156.9
5.955552e+08,164.4
5.982336e+08,176.1
6.009120e+08,184.8
6.034176e+08,190.7
6.060096e+08,198
6.086016e+08,203.8
6.112800e+08,209.5
6.138720e+08,212.1
6.165504e+08,212
6.192288e+08,211.1
6.218208e+08,210.5
6.244992e+08,212.4
6.270912e+08,212.5
6.297696e+08,206.2
6.324480e+08,201.2
6.349536e+08,202.4
6.375456e+08,200.9
6.401376e+08,198.1
6.428160e+08,195.1
6.454080e+08,192
6.480864e+08,190.1
6.507648e+08,191.6
6.533568e+08,194.6
6.560352e+08,195.2
6.586272e+08,195.2
6.613056e+08,197.8
6.639840e+08,202.8
6.664896e+08,204.4
6.690816e+08,203.9
6.716736e+08,203.8
6.743520e+08,202.9
6.769440e+08,202.8
6.796224e+08,203.5
6.823008e+08,203.3
6.848928e+08,200.9
6.875712e+08,196.7
6.901632e+08,191.4
6.928416e+08,183.1
6.955200e+08,172.6
6.981120e+08,161.1
7.007040e+08,151.8
7.032960e+08,146
7.059744e+08,142.1
7.085664e+08,137.1
7.112448e+08,128.5
7.139232e+08,119.3
7.165152e+08,113
7.191936e+08,109
7.217856e+08,106.3
7.244640e+08,104.5
7.271424e+08,101.9
7.296480e+08,99.3
7.322400e+08,95.4
7.348320e+08,90.2
7.375104e+08,84.2
7.401024e+08,78.6
7.427808e+08,76.5
7.454592e+08,73.6
7.480512e+08,68.3
7.507296e+08,63.2
7.533216e+08,58.4
7.560000e+08,55.1
7.586784e+08,52.6
7.611840e+08,50.2
7.637760e+08,49.4
7.663680e+08,49.6
7.690464e+08,48.7
7.716384e+08,46.4
7.743168e+08,42.7
7.769952e+08,40.1
7.795872e+08,39.7
7.822656e+08,39.4
7.848576e+08,38.7
7.875360e+08,37.6
7.902144e+08,35.6
7.927200e+08,33.7
7.953120e+08,32
7.979040e+08,29.4
8.005824e+08,27.3
8.031744e+08,25.9
8.058528e+08,24.4
8.085312e+08,22
8.111232e+08,19
8.138016e+08,17
8.163936e+08,15.9
8.190720e+08,15.1
8.217504e+08,14.5
8.243424e+08,14.2
8.269344e+08,13.7
8.295264e+08,12
8.322048e+08,11.2
8.347968e+08,11.6
8.374752e+08,11.3
8.401536e+08,11.2
8.427456e+08,11.3
8.454240e+08,12
8.480160e+08,13.4
8.506944e+08,14.3
8.533728e+08,14.5
8.558784e+08,15.2
8.584704e+08,18.3
8.610624e+08,22
8.637408e+08,24.4
8.663328e+08,27.2
8.690112e+08,30.4
8.716896e+08,33.6
8.742816e+08,38.2
8.769600e+08,43.1
8.795520e+08,47.1
8.822304e+08,52
8.849088e+08,58.4
8.874144e+08,65.4
8.900064e+08,72
8.925984e+08,76.9
8.952768e+08,80.8
8.978688e+08,85.4
9.005472e+08,89.8
9.032256e+08,93.5
9.058176e+08,96.4
9.084960e+08,98.2
9.110880e+08,102.3
9.137664e+08,110.4
9.164448e+08,118.4
9.189504e+08,122.5
9.215424e+08,122.3
9.241344e+08,125
9.268128e+08,132.6
9.294048e+08,136.3
9.320832e+08,138.1
9.347616e+08,142.9
9.373536e+08,150.5
9.400320e+08,159.3
9.426240e+08,164.1
9.453024e+08,164
9.479808e+08,166.1
9.505728e+08,170.6
9.531648e+08,174.3
9.557568e+08,175.2
9.584352e+08,172.9
9.610272e+08,172.7
9.637056e+08,174.2
9.663840e+08,172.8
9.689760e+08,168.8
9.716544e+08,165.3
9.742464e+08,163.1
9.769248e+08,162.7
9.796032e+08,158.3
9.821088e+08,152.5
9.847008e+08,155.1
9.872928e+08,160.7
9.899712e+08,163.7
9.925632e+08,167.4
9.952416e+08,172
9.979200e+08,175.8
1.000512e+09,177.1
1.003190e+09,177.3
1.005782e+09,180.3
1.008461e+09,179.1
1.011139e+09,177.6
1.013645e+09,179.7
1.016237e+09,178.2
1.018829e+09,174.4
1.021507e+09,171.3
1.024099e+09,166.9
1.026778e+09,161.5
1.029456e+09,155.4
1.032048e+09,149.5
1.034726e+09,143.9
1.037318e+09,136
1.039997e+09,131.4
1.042675e+09,129.6
1.045181e+09,125.7
1.047773e+09,118.7
1.050365e+09,111.9
1.053043e+09,107
1.055635e+09,101.7
1.058314e+09,96
1.060992e+09,92.9
1.063584e+09,91.8
1.066262e+09,89.1
1.068854e+09,86.9
1.071533e+09,84.1
1.074211e+09,80.1
1.076803e+09,76.4
1.079395e+09,73.2
1.081987e+09,71
1.084666e+09,69.5
1.087258e+09,67.1
1.089936e+09,64.8
1.092614e+09,63
1.095206e+09,60.2
1.097885e+09,57.9
1.100477e+09,56.6
1.103155e+09,55.7
1.105834e+09,54.5
1.108339e+09,53.2
1.110931e+09,52.3
1.113523e+09,49.3
1.116202e+09,45
1.118794e+09,44.5
1.121472e+09,44.6
1.124150e+09,41.9
1.126742e+09,39.4
1.129421e+09,38.9
1.132013e+09,38.4
1.134691e+09,36
1.137370e+09,33
1.139875e+09,29.7
1.142467e+09,27.4
1.145059e+09,27
1.147738e+09,27.4
1.150330e+09,26.2
1.153008e+09,25
1.155686e+09,25.9
1.158278e+09,26
1.160957e+09,23.7
1.163549e+09,21.1
1.166227e+09,20.2
1.168906e+09,19.8
1.171411e+09,19
1.174003e+09,17.7
1.176595e+09,16.4
1.179274e+09,14.4
1.181866e+09,12.8
1.184544e+09,11.6
1.187222e+09,9.9
1.189814e+09,9.6
1.192493e+09,9.9
1.195085e+09,9.2
1.197763e+09,7.9
1.200442e+09,6.6
1.203034e+09,5.6
1.205626e+09,5.1
1.208218e+09,5.1
1.210896e+09,5.4
1.213488e+09,4.8
1.216166e+09,4
1.218845e+09,3.8
1.221437e+09,3.2
1.224115e+09,2.4
1.226707e+09,2.3
1.229386e+09,2.2
1.232064e+09,2.5
1.234570e+09,2.7
1.237162e+09,2.9
1.239754e+09,3.3
1.242432e+09,3.5
1.245024e+09,4.1
1.247702e+09,5.5
1.250381e+09,7.4
1.252973e+09,9.5
1.255651e+09,10.9
1.258243e+09,11.7
1.260922e+09,12.7
1.263600e+09,14
1.266106e+09,16.1
1.268698e+09,18.5
1.271290e+09,20.8
1.273968e+09,23.1
1.276560e+09,24.6
1.279238e+09,25.2
1.281917e+09,26.4
1.284509e+09,29.5
1.287187e+09,34.5
1.289779e+09,39.1
1.292458e+09,42.5
1.295136e+09,45.7
1.297642e+09,48.8
1.300234e+09,53.8
1.302826e+09,61.1
1.305504e+09,69.3
1.308096e+09,77.2
1.310774e+09,83.6
1.313453e+09,86.3
1.316045e+09,86.6
1.318723e+09,87.4
1.321315e+09,89.4
1.323994e+09,92.5
1.326672e+09,95.5
1.329264e+09,98.1
1.331856e+09,98.3
1.334448e+09,95.1
1.337126e+09,90.9
1.339718e+09,86.6
1.342397e+09,84.5
1.345075e+09,85.1
1.347667e+09,85.3
1.350346e+09,85.8
1.352938e+09,87.7
1.355616e+09,88.1
1.358294e+09,86.8
1.360800e+09,86.1
1.363392e+09,84.4
1.365984e+09,84.3
1.368662e+09,87
1.371254e+09,90.9
1.373933e+09,94.6
1.376611e+09,99
1.379203e+09,104.6
1.381882e+09,107
1.384474e+09,106.9
1.387152e+09,107.6
1.389830e+09,109.3
1.392336e+09,110.5
1.394928e+09,114.3
1.397520e+09,116.4
1.400198e+09,115
1.402790e+09,114.1
1.405469e+09,112.6
1.408147e+09,108.3
1.410739e+09,101.9
1.413418e+09,97.3
1.416010e+09,94.7
1.418688e+09,92.2
1.421366e+09,89.3
1.423872e+09,86.1
1.426464e+09,82.1
1.429056e+09,78.9
1.431734e+09,76.1
1.434326e+09,72.1
1.437005e+09,68.3
1.439683e+09,66.4
1.442275e+09,65.9
1.444954e+09,64.3
1.447546e+09,61.2
1.450224e+09,57.8
1.452902e+09,54.4
1.455494e+09,52.5
1.458086e+09,50.4
1.460678e+09,47.8
1.463357e+09,44.8
1.465949e+09,41.5
1.468627e+09,38.5
1.471306e+09,36
1.473898e+09,33.2
1.476576e+09,31.5
1.479168e+09,29.9
1.481846e+09,28.5
1.484525e+09,27.8
1.487030e+09,26.5
1.489622e+09,25.7
1.492214e+09,24.8
1.494893e+09,23.3
1.497485e+09,22.2
1.500163e+09,21
1.502842e+09,19.6
1.505434e+09,18.3
1.508112e+09,16.7
1.510704e+09,15.4
1.513382e+09,15.1
1.516061e+09,14.2
1.518566e+09,12.6
1.521158e+09,9.9
1.523750e+09,7.8
1.526429e+09,7.5
1.529021e+09,7.2
1.531699e+09,7
1.534378e+09,6.7
1.536970e+09,6.5
1.539648e+09,6.8
1.542240e+09,6.7
1.544918e+09,6
1.547597e+09,5.4
1.550102e+09,5
1.552694e+09,4.6
1.555286e+09,4.3
1.557965e+09,3.9
1.560557e+09,3.7
1.563235e+09,3.5
1.565914e+09,3.4
1.568506e+09,3.1
1.571184e+09,2.6
1.573776e+09,2
1.576454e+09,1.8
1.579133e+09,2.2
1.581725e+09,2.7
1.584317e+09,3
1.586909e+09,3.6
1.589587e+09,5.6
1.592179e+09,7.9
1.594858e+09,9
1.597536e+09,9.5
1.600128e+09,10.5
1.602806e+09,11.9
1.605398e+09,13.6
1.608077e+09,15.3
1.610755e+09,17.3
1.613261e+09,19
1.615853e+09,21.7
1.618445e+09,24.8
1.621123e+09,25.8
1.623715e+09,27.6
1.626394e+09,31.4
1.629072e+09,35.4
1.631664e+09,40.2
1.634342e+09,45.2
1.636934e+09,50.8
1.639613e+09,55.9
1.642291e+09,60.1
1.644797e+09,64.7
1.647389e+09,68.7
1.649981e+09,73
1.652659e+09,77.4
1.655251e+09,81.1
1.657930e+09,86.7
1.660608e+09,92.6
1.663200e+09,96.5
1.665878e+09,98.9
1.668470e+09,101.2
1.671149e+09,106.7
1.673827e+09,113.3
1.676333e+09,117.8
1.678925e+09,121.1
1.681517e+09,122.9
1.684195e+09,124.2
1.686787e+09,125.3
1.689466e+09,124.6
1.692144e+09,124.3
1.694736e+09,124
1.697414e+09,124.8
1.700006e+09,127.9
1.702685e+09,129.5
1.705363e+09,131.2
1.707955e+09,136.9
1.710547e+09,141.4
1.713139e+09,144.4
1.715818e+09,149.1
1.718410e+09,152.8
1.721088e+09,155
1.723766e+09,156.8
1.726358e+09,159.4
1.729037e+09,160.9
1.731629e+09,157.2
1.734307e+09,151.2
1.736986e+09,146.2
1.739491e+09,139.8
1.742083e+09,135.9
1.744675e+09,133.3
1.747354e+09,128.6
1.749946e+09,124.7
1.752624e+09,122.4
1.755302e+09,118.2
1.757894e+09,112.9
1.760573e+09,108.3
1.778890e+09,103.8
1.781482e+09,104.3
1.784160e+09,104.6
1.786838e+09,104.3
1.789430e+09,103.3
1.792109e+09,101.5
1.794701e+09,99
1.797379e+09,96.3
1.800058e+09,93.1
1.802563e+09,90
1.805155e+09,87.1
1.807747e+09,84.1
1.810426e+09,81.2
1.813018e+09,78.3
1.815696e+09,75.6
1.818374e+09,72.8
1.820966e+09,70.1
1.823645e+09,67.5
1.826237e+09,64.8
1.828915e+09,62.3
1.831594e+09,59.8
1.834186e+09,57.3
1.836778e+09,55
1.839370e+09,52.6
1.842048e+09,50.3
1.844640e+09,48.1
1.847318e+09,45.9
1.849997e+09,43.8
1.852589e+09,41.7
1.855267e+09,39.7
1.857859e+09,37.8
1.860538e+09,35.9
1.863216e+09,34.1
1.865722e+09,32.3
1.868314e+09,30.8
1.870906e+09,29.1
1.873584e+09,27.6
1.876176e+09,26
1.878854e+09,24.6
1.881533e+09,23.2
1.884125e+09,21.9
1.886803e+09,20.6
1.889395e+09,19.4
1.892074e+09,18.3
1.894752e+09,17.1
1.897258e+09,16.1
1.899850e+09,15.2
1.902442e+09,14.2
1.905120e+09,13.3
1.907712e+09,12.4
1.910390e+09,11.7
1.913069e+09,10.9
1.915661e+09,10.1
1.918339e+09,9.5
1.920931e+09,8.8
1.923610e+09,8.2
